index,Anime Genres,Anime Members,Anime Score
1792,['Sports'],389000.0,7.63
1449,"['Action', 'Fantasy', 'Ecchi']",389000.0,6.77
1655,"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",389000.0,8.10
1656,"['Comedy', 'Supernatural']",389000.0,7.08
2760,"['Comedy', 'Romance']",389000.0,7.30
1450,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",388000.0,6.57
2894,"['Mystery', 'Romance', 'Supernatural']",386000.0,6.91
2296,"['Comedy', 'Fantasy']",386000.0,7.56
1521,['SliceofLife'],385000.0,7.39
1484,"['Comedy', 'Romance']",384000.0,7.18
1657,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",384000.0,7.63
2674,"['Comedy', 'Fantasy', 'Supernatural']",384000.0,7.75
2934,"['Comedy', 'Drama', 'Fantasy', 'Romance']",382000.0,7.48
936,"['Action', 'Comedy', 'Ecchi']",381000.0,7.06
1932,"['Drama', 'Romance']",379000.0,7.78
2402,"['Drama', 'Romance']",375000.0,6.51
2935,"['Comedy', 'Mystery']",373000.0,7.54
1658,"['Action', 'SciFi', 'Supernatural']",373000.0,7.58
1403,"['Horror', 'Mystery', 'Romance', 'Supernatural']",373000.0,7.83
133,"['Action', 'SciFi']",371000.0,8.43
1981,"['Action', 'Mystery', 'Supernatural']",370000.0,7.98
2027,"['Sports', 'Ecchi']",370000.0,6.94
349,"['AvantGarde', 'Drama', 'Mystery', 'Supernatural', 'Suspense']",370000.0,7.67
1793,"['Action', 'Comedy', 'Mystery', 'Supernatural']",369000.0,8.07
1247,"['Comedy', 'Romance', 'Supernatural']",368000.0,7.89
1691,"['Comedy', 'Romance']",367000.0,7.39
1140,"['Comedy', 'Romance', 'Ecchi']",367000.0,6.87
1692,['Comedy'],366000.0,7.52
1141,"['Drama', 'Suspense']",366000.0,8.49
1485,"['Action', 'Comedy', 'SciFi', 'Ecchi']",365000.0,6.48
1451,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",363000.0,6.95
25,"['Action', 'Adventure', 'Fantasy']",363000.0,7.47
2245,"['Drama', 'SliceofLife']",361000.0,8.95
1404,"['Action', 'Comedy', 'Supernatural', 'Ecchi']",361000.0,7.50
1377,"['Drama', 'Romance', 'SciFi']",361000.0,7.43
1833,"['Action', 'Fantasy', 'Romance', 'Ecchi']",361000.0,6.83
2844,"['Action', 'SciFi']",361000.0,7.62
1558,"['Action', 'SciFi']",360000.0,8.03
2093,"['Action', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']",360000.0,6.55
1740,['SliceofLife'],360000.0,7.68
2341,"['Drama', 'Fantasy', 'Romance', 'SciFi']",358000.0,7.68
2403,"['Comedy', 'Mystery', 'Supernatural']",358000.0,8.89
1741,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",357000.0,7.23
424,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural']",356000.0,7.63
1084,"['Action', 'Comedy', 'Supernatural', 'Ecchi']",355000.0,7.72
