,Name,Gender,Born in,Birth,Death,Age,Movies/Series
382,Elizabeth Banks,F,"Pittsfield, Massachusetts, USA",10/2/1974,Alive,48.0,94
383,Keira Knightley,F,"Teddington, Middlesex, England, UK",26/3/1985,Alive,37.0,60
384,Constance Wu,F,"Richmond, Virginia, USA",22/3/1982,Alive,40.0,40
385,Pedro Pascal,M,"Santiago de Chile, Metropolitan Region, Chile",2/4/1975,Alive,47.0,62
386,Addison Timlin,F,"Philadelphia, Pennsylvania, USA",29/6/1991,Alive,31.0,38
387,Josh Brolin,M,"Santa Monica, California, USA",12/2/1968,Alive,54.0,76
388,Loni Anderson,F,"St. Paul, Minnesota, USA",5/8/1945,Alive,77.0,65
389,Isabela Merced,F,"Cleveland, Ohio, USA",10/7/2001,Alive,21.0,34
390,Jennette McCurdy,F,"Los Angeles, California, USA",26/6/1992,Alive,30.0,67
391,Robert Pattinson,M,"Barnes, London, England, UK",13/5/1986,Alive,36.0,40
392,Ari Graynor,F,"Boston, Massachusetts, USA",27/4/1983,Alive,39.0,48
393,Jeff Wilbusch,M,,,,,22
394,Michelle Lee,F,"Long Beach, California, USA",2/8/1978,Alive,44.0,54
395,Fina Strazza,F,,,,,9
396,Jennifer Aniston,F,"Sherman Oaks, California, USA",11/2/1969,Alive,53.0,73
397,Grace Van Dien,F,"Los Angeles, California, USA",15/10/1996,Alive,25.0,31
398,Jennifer Marshall,F,"Denver, Colorado, USA",4/8/1981,Alive,41.0,66
399,Matt Smith,M,"Northampton, Northamptonshire, England, UK",28/10/1982,Alive,39.0,49
400,Natasha Lyonne,F,"New York City, New York, USA",4/4/1979,Alive,43.0,120
401,Betty Gilpin,F,"New York City, New York, USA",21/7/1986,Alive,36.0,42
402,Amanda Seyfried,F,"Allentown, Pennsylvania, USA",3/12/1985,Alive,36.0,63
403,Connie Nielsen,F,"Elling, Frederikshavn, Denmark",3/7/1965,Alive,57.0,61
404,Marisa Tomei,F,"Brooklyn, New York City, New York, USA",4/12/1964,Alive,57.0,90
405,Christina Chong,F,"Enfield, North London, England, UK",,,,30
406,Margaret Qualley,F,"Kalispell, Montana, USA",23/10/1994,Alive,27.0,32
407,Travis Fimmel,M,"nr. Echuca, Victoria, Australia",15/7/1979,Alive,43.0,38
408,Grace Caroline Currey,F,USA,17/7/1996,Alive,26.0,21
409,Lena Headey,F,"Hamilton, Bermuda",3/10/1973,Alive,48.0,93
410,Sam Rockwell,M,"Daly City, California, USA",5/11/1968,Alive,53.0,114
411,William Shatner,M,"Montreal, Quebec, Canada",22/3/1931,Alive,91.0,249
412,Emma Stone,F,"Scottsdale, Arizona, USA",6/11/1988,Alive,33.0,53
413,Abigail Breslin,F,"New York City, New York, USA",14/4/1996,Alive,26.0,56
414,Michelle Trachtenberg,F,"New York City, New York, USA",11/10/1985,Alive,36.0,60
415,Rose Leslie,F,"Aberdeen, Scotland, UK",9/2/1987,Alive,35.0,22
416,Molly Ringwald,F,"Roseville, California, USA",18/2/1968,Alive,54.0,74
417,Kristen Bell,F,"Huntington Woods, Michigan, USA",18/7/1980,Alive,42.0,107
418,Linda Cardellini,F,"Redwood City, California, USA",25/6/1975,Alive,47.0,70
419,Daniel Craig,M,"Chester, Cheshire, England, UK",2/3/1968,Alive,54.0,72
420,Charlie Hunnam,M,"Newcastle upon Tyne, Tyne and Wear, England, UK",10/4/1980,Alive,42.0,30
421,Kate Winslet,F,"Reading, Berkshire, England, UK",5/10/1975,Alive,46.0,69
422,Christina Hendricks,F,"Knoxville, Tennessee, USA",3/5/1975,Alive,47.0,69
423,B.J. Novak,M,"Newton, Massachusetts, USA",31/7/1979,Alive,43.0,27
424,Kelly Lynch,F,"Golden Valley, Minnesota, USA",31/1/1959,Alive,63.0,57
425,Brian Tyree Henry,M,"Fayetteville, North Carolina, USA",31/3/1982,Alive,40.0,42
426,Neve Campbell,F,"Guelph, Ontario, Canada",3/10/1973,Alive,48.0,65
427,Hilary Swank,F,"Lincoln, Nebraska, USA",30/7/1974,Alive,48.0,55
428,Samara Weaving,F,"Adelaide, South Australia, Australia",23/2/1992,Alive,30.0,33
429,Anna Torv,F,"Melbourne, Victoria, Australia",7/6/1979,Alive,43.0,24
430,Alice Eve,F,"London, England, UK",6/2/1982,Alive,40.0,51
431,Aubrey Plaza,F,"Wilmington, Delaware, USA",26/6/1984,Alive,38.0,84
432,Piper Perabo,F,"Dallas, Texas, USA",31/10/1976,Alive,45.0,48
433,Riley Lai Nelet,F,,,,,5
434,Meg Ryan,F,"Fairfield, Connecticut, USA",19/11/1961,Alive,60.0,51
435,Adam Scott,M,"Santa Cruz, California, USA",3/4/1973,Alive,49.0,125
436,Kaya Scodelario,F,"Holloway, London, England, UK",13/3/1992,Alive,30.0,27
437,Laurie Holden,F,"Los Angeles, California, USA",17/12/1969,Alive,52.0,47
438,Jeff Goldblum,M,"Pittsburgh, Pennsylvania, USA",22/10/1952,Alive,69.0,141
439,Lea Thompson,F,"Rochester, Minnesota, USA",31/5/1961,Alive,61.0,107
440,Bill Skarsgård,M,"Vällingby, Sweden",9/8/1990,Alive,32.0,42
441,Debby Ryan,F,"Huntsville, Alabama, USA",13/5/1993,Alive,29.0,50
442,Sarah Shahi,F,"Euless, Texas, USA",10/1/1980,Alive,42.0,65
443,Emma Watson,F,"Paris, France",15/4/1990,Alive,32.0,24
444,Bobby Cannavale,M,"Union City, New Jersey, USA",3/5/1970,Alive,52.0,122
445,Peter Sohn,M,"New York City, New York, USA",18/10/1977,Alive,44.0,19
446,Anna Gunn,F,"Cleveland, Ohio, USA",11/8/1968,Alive,54.0,68
447,Mackenzie Davis,F,"Vancouver, British Columbia, Canada",1/4/1987,Alive,35.0,32
448,Sofia Boutella,F,"Bab El Oued, Algeria",3/4/1982,Alive,40.0,31
