Season,Anime Name,Anime Score,Anime Members,Anime Genres,More Info,Rank
summer,"Tantei wa Mou, Shindeiru.",6.35,313K,"Comedy, Drama, Mystery, Romance",https://myanimelist.net/anime/46471/Tantei_wa_Mou_Shindeiru,49
winter,Ore dake Haireru Kakushi Dungeon,6.30,315K,"Action, Adventure, Fantasy, Ecchi",https://myanimelist.net/anime/41899/Ore_dake_Haireru_Kakushi_Dungeon,50
winter,Hataraku Saibou!!,7.34,240K,Comedy,https://myanimelist.net/anime/39586/Hataraku_Saibou,51
summer,Kanojo mo Kanojo,6.56,291K,"Comedy, Romance",https://myanimelist.net/anime/43969/Kanojo_mo_Kanojo,52
spring,Nomad: Megalo Box 2,8.21,176K,"Drama, Sci-Fi, Sports",https://myanimelist.net/anime/40729/Nomad__Megalo_Box_2,53
spring,Zombieland Saga Revenge,8.02,185K,"Comedy, Supernatural",https://myanimelist.net/anime/40174/Zombieland_Saga_Revenge,54
spring,Shadows House,7.77,195K,"SliceofLife, Supernatural",https://myanimelist.net/anime/43439/Shadows_House,55
winter,Hataraku Saibou Black,7.53,201K,"Action, Drama",https://myanimelist.net/anime/41694/Hataraku_Saibou_Black,56
summer,Shinigami Bocchan to Kuro Maid,7.63,189K,"Comedy, Drama, Supernatural",https://myanimelist.net/anime/47257/Shinigami_Bocchan_to_Kuro_Maid,57
fall,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",6.94,233K,"Adventure, Fantasy, Romance, SliceofLife",https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,58
spring,Shaman King (2021),6.89,230K,"Adventure, Comedy, Supernatural",https://myanimelist.net/anime/42205/Shaman_King_2021,59
spring,Edens Zero,7.32,202K,"Adventure, Comedy, Fantasy, Sci-Fi",https://myanimelist.net/anime/42192/Edens_Zero,60
summer,Uramichi Oniisan,7.70,177K,"Comedy, SliceofLife",https://myanimelist.net/anime/40620/Uramichi_Oniisan,61
fall,Saihate no Paladin,6.85,232K,"Action, Adventure, Fantasy",https://myanimelist.net/anime/48761/Saihate_no_Paladin,62
winter,Log Horizon: Entaku Houkai,7.06,212K,"Action, Adventure, Fantasy",https://myanimelist.net/anime/41109/Log_Horizon__Entaku_Houkai,63
spring,Koi to Yobu ni wa Kimochi Warui,7.15,205K,"Comedy, Romance",https://myanimelist.net/anime/41103/Koi_to_Yobu_ni_wa_Kimochi_Warui,64
summer,Jahy-sama wa Kujikenai!,7.08,210K,"Comedy, Supernatural",https://myanimelist.net/anime/48753/Jahy-sama_wa_Kujikenai,65
